Company Name,Date of Visit,Role,Category,CTC,Eligibility Percentage,Student Applied,Student Selected
Anand Group,17-11-2023,GET - Internship,Level 7 - Regular Internship (Placement),8.00 LPA,60%,1483,6
A.O. Smith India Water Products Pvt. Ltd.,27-10-2023,Graduate Engineering Trainee,Level 4 - Core (Placement),4.50 LPA,60%,139,2
Applus IDIADA Group,09-03-2024,GET,Level 4 - Core (ILP),4.25 LPA,60%,20,1
AppViewX,15-05-2023,Software Engineer - Product Engineering,Level 3 - Super Dream (ILP),12.00 LPA,80%,769,1
APTIV,11-10-2023,Design Engineer Trainee,Level 4 - Core (ILP),5.00 LPA,60%,3,2
ARCON,03-08-2023,SOFTWARE DEVELOPER,Level 2 - Marquee (Placement),10.00 LPA,60%,2206,2
ARM Embedded Technologies Pvt. Ltd.,15-02-2023,GET / PGET,Level 2 - Marquee (ILP),34.21 LPA,60%,70,852
Asahi India Glass Ltd.,12-10-2023,GET,Level 4 - Core (Placement),4.50 LPA,65%,129,1
Ashiana Housing Ltd.,15-03-2024,Graduate Trainee Engineer,Level 4 - Core (Placement),4.00 LPA,60%,29,2
Asian paints,18-08-2023,GET,Level 3 - Super Dream (Placement),10.50 LPA,60%,244,1
AstraZeneca`s,22-09-2023,Graduate Trainee,Level 4 - Dream (Placement),5.50 LPA,70%,1359,13
Audree Infotech Pvt Ltd,27-03-2024,DOT NET Developer,Level 6 - IT / Non- Engineering (Placement),0 LPA,60%,60,549
AVL India Pvt. Ltd,14-02-2024,Trainee-Software And Controls (Powertrain Engineering),Level 4 - Core (ILP),5.00 LPA,60%,300,1
Bajaj Finserv Health Limited,19-05-2023,Front end Developer,Level 3 - Super Dream (ILP),10.00 LPA,60%,12,12
Bajaj Finserv Ltd,08-09-2023,Web Development,Level 3 - Super Dream (ILP),12.81 LPA,60%,3353,15
Bank of America,12-10-2023,Apprentice (B.Tech),Level 4 - Dream (Placement),6.45 LPA,60%,2175,42
Barclays,14-10-2022,BA3 Graduates | GET (FTE),Level 2 - Marquee (Placement),15.00 LPA,60%,2022,44
B-ARM MEDICAL TECHNOLOGIES,10-10-2023,Intern - New Product Development,Level 4 - Core (ILP),3.50 LPA,60%,45,1
Baton Systems,21-11-2023,Software Engineer/ DevOps Engineer/Testing Engineer/ Support Engineer,Level 3 - Super Dream (ILP),10.00 LPA,80%,963,3
Bharat FIH Ltd,20-04-2024,GET,Level 4 - Core (Placement),3.00 LPA,60%,77,33
BNP Paribas,12-08-2023,Associate,Level 7 - Regular Internship,5.00 LPA,65%,941,39
BNY Mellon,25-07-2023,S.E.T.U.P (software Developer),Level 2 - Marquee (Placement),21.64 LPA,75%,2392,11
Boltzmann Labs,27-11-2023,Bioinformatics Intern,Level 4 - Core (ILP),4.00 LPA,70%,100,0
Boltzmann Labs,27-11-2023,Deep Learning Intern,Level 4 - Dream (ILP),6.00 LPA,70%,1511,2
Bosch Ltd.,07-06-2023,Intern (MTech),Level 4 - Dream (ILP),8.00 LPA,60%,19,0
Bosch Ltd.,26-10-2023,Software,Level 4 - Dream (Placement),5.00 LPA,60%,1014,11
British Telecom (BT),13-09-2023,GET - Intern,Level 4 - Dream (ILP),8.92 LPA,60%,3090,4
Broadridge,22-08-2023,Member Technical - Tech Intern,Level 3 - Super Dream (Placement),10.00 LPA,60%,3231,1
Byjus`s,30-01-2024,Inside Sales Intern,Level 7 - Regular Internship (ILP),5.20 LPA,60%,214,11
CAMS,18-09-2023,GET,Level 4 - Dream (Placement),6.00 LPA,60%,1904,5
Capgemini,01-02-2024,Aeronautical - Techpub || Capgemini Exceller 2023-24,Level 4 - Core (Placement),4.00 LPA,60%,5,3
Capgemini,31-01-2024,Biomedical || Capgemini Exceller 2023-24,Level 4 - Core (Placement),4.00 LPA,60%,50,12
Capgemini,16-02-2024,Software Engineer || Capgemini Exceller 2023-24,Level 6 - IT / Non- Engineering (Placement),4.00 LPA,60%,1678,260
Capslock Marketplaces Private Limited (VoiceClub),06-03-2024,SDE Intern,Level 3 - Super Dream (ILP),15.00 LPA,60%,1,1
Care Monitor,06-03-2024,Associate Software Engineer / Associate Business Analyst,Level 4 - Dream (Placement),5.64 LPA,85%,294,1
CATALOG,24-09-2023,Software Developer,Level 4 - Dream (ILP),7.70 LPA,60%,149,1
Caterpillar,02-11-2023,Leadership Technical Development Program (Manufacturing Professional),Level 3 - Super Dream (Placement),12.26 LPA,60%,179,1
Centific,14-10-2023,Technical Intern,Level 4 - Dream (ILP),5.00 LPA,60%,1474,1
Ceridian,22-12-2023,Trainee Software Developer,Level 4 - Dream (ILP),7.00 LPA,60%,2142,3
Cholamandalam Investment and Finance Company Ltd.,22-11-2023,IT Developers,Level 4 - Dream (ILP),6.00 LPA,60%,1153,11
Cleartax,02-12-2023,Software Engineer,Level 2 - Marquee (ILP),20.00 LPA,60%,1831,0
Coffee Day Beverages,28-03-2024,Executive –Service,Level 4 - Core (Placement),3.50 LPA,60%,93,5
Cognex,25-12-2023,Project Solutions Engineer,Level 4 - Dream (Placement),8.00 LPA,60%,345,5
Cognizant,23-01-2024,2024_GenC Next,Level 4 - Dream (Placement),0 LPA,60%,60,953
CommScope,27-01-2023,GET - Intern,Level 7 - Regular Internship,0 LPA,60%,1,0
COMMVAULT,20-07-2023,SDE,Level 2 - Marquee (Placement),32.70 LPA,75%,758,0
Computacenter India Private Limited,14-09-2023,IT INFRASTRUCTURE,Level 4 - Dream (ILP),5.00 LPA,75%,441,22
Comviva,25-08-2023,PRODUCT DEVELOPER,Level 4 - Dream (Placement),6.50 LPA,70%,1865,15
conga,20-11-2023,Project Trainee / Intern,Level 4 - Dream (Placement),8.00 LPA,60%,1847,6
Continental Automotive Components (India) Pvt Ltd,23-05-2023,GET,Level 4 - Core (ILP),6.00 LPA,60%,5,5
Contlo,29-08-2023,Backend Engineer,Level 3 - Super Dream (Placement),11.00 LPA,80%,1353,1
Cradle point,10-10-2023,SDE,Level 2 - Marquee (Placement),16.63 LPA,60%,2620,0
Cummins,01-07-2023,INTERN,Level 7 - Summer Internship,0 LPA,60%,14,2
Curelink,30-11-2023,Inside Sales Associate,Level 7 - Regular Internship (ILP),6.00 LPA,60%,959,6
Cyraacs,26-10-2023,GRC Intern,Level 4 - Dream (ILP),5.00 LPA,60%,2006,5
Databricks,10-08-2023,Intern Trainee Engineer,Level 2 - Marquee (ILP),23.27 LPA,75%,1119,3
Dell Technologies,29-03-2023,GET _Intern,Level 3 - Super Dream (ILP),12.50 LPA,60%,2549,10
Deloitte,23-08-2023,Analyst,Level 4 - Dream (Placement),7.60 LPA,60%,65,1802
Deloitte India,27-10-2023,Analyst (3),Level 4 - Dream (Placement),7.60 LPA,60%,2583,29
Dematic Engineering,06-06-2024,Mechanical Design Engineer /Controls Design Engineer,Level 4 - Core (Placement),4.00 LPA,60%,45,6
D E Shaw & Co,14-09-2023,Software Development Engineer in Test,Level 2 - Marquee (Placement),51.00 LPA,70%,2501,1
D E Shaw & Co,23-06-2022,Software Development Engineer in Test,Level 2 - Marquee (Placement),51.00 LPA,60%,1347,1
DEVREV-Prograd,17-07-2023,FRONT END DEVELOPER,Level 3 - Super Dream (ILP),12.00 LPA,60%,2452,2
Dexian India Technologies Pvt. Ltd.,23-02-2024,Technology / Support Role,Level 6 - IT / Non- Engineering,4.65 LPA,70%,903,20
Dexterity Edtech Pvt Ltd,13-03-2024,Academic Counselor,Level 6 - IT / Non- Engineering,4.00 LPA,60%,567,66
Dixon Technologies,03-02-2024,GET,Level 4 - Dream (Placement),8.00 LPA,60%,1839,5
Dow Chemical International Pvt Ltd,10-05-2023,GET,Level 7 - Summer Internship (ILP),9.00 LPA,60%,1,1
Dr Agarwal,22-03-2024,Java Spring boot + Angular + MariaDB,Level 4 - Dream (ILP),5.00 LPA,60%,3,3
Dr. Lal Pathlabs Pvt Ltd,04-11-2023,GET,Level 4 - Dream (Placement),8.00 LPA,60%,1120,2
e-Emphasys Systems Pvt Ltd,21-09-2023,Software Developer,Level 4 - Dream (Placement),8.00 LPA,60%,2820,0
ElectricPe,01-06-2023,Program Manager - Intern / Product Manager - Intern / Software Development Engineer - Intern,Level 3 - Super Dream (Placement),12.50 LPA,60%,1122,1
Electronic Arts (Ea),18-12-2023,Security Developer Intern,Level 2 - Marquee (ILP),32.00 LPA,65%,1,1
Elemica,03-11-2023,Associate Software Engineer,Level 4 - Dream (ILP),7.00 LPA,60%,2857,2
EPAM,06-05-2024,Trainee engineer,Level 4 - Dream (Placement),8.00 LPA,60%,738,28
Escorts Kubota Ltd.,07-12-2023,GET,Level 4 - Core (Placement),6.50 LPA,65%,65,1
ET MediaLabs,28-10-2023,Digital Marketing Intern,Level 6 - IT / Non- Engineering,7.00 LPA,80%,916,34
Euler Motors Pvt. Ltd.,16-11-2023,Embedded System Engineer,Level 3 - Super Dream (ILP),10.00 LPA,60%,445,4
Euler Motors Pvt. Ltd.,02-12-2023,Procurement Associate,Level 4 - Core (ILP),6.00 LPA,60%,368,3
EventHQ,09-12-2023,Analyst,Level 4 - Dream (ILP),0 LPA,60%,60,1386
EventHQ,09-12-2023,Software Engineer Internship,Level 4 - Dream (ILP),6.00 LPA,60%,1247,3
Exide Industries Limited,24-01-2024,GET,Level 4 - Core (Placement),0.00 LPA,00%,000.00 per Annum,80
EY - India,07-10-2023,Senior Analyst,Level 4 - Dream (Placement),6.37 LPA,65%,2364,36
FactWise,05-08-2023,Software Development Engineer,Level 7 - Regular Internship,40.00 LPA,60%,2058,4
Faurecia,26-09-2023,GET/PGET,Level 4 - Core (Placement),6.00 LPA,65%,566,0
Federal Bank,08-02-2024,Officer in Junior Management Grade I for Branch Banking role,Level 3 - Super Dream (Placement),10.44 LPA,60%,68,1
Fidelity Investments,01-08-2022,PPO,Level 2 - Marquee (Placement),14.00 LPA,60%,24,24
Fincare Small Finance Bank,06-01-2024,Java FSD + Flutter,frontend focus Java FSD + Flutter,backend focus Java Backend Python Django with Frontend Devops AWS AWS Infra,60%,5 LPA,All B.Tech students are eligible
Finzly,23-11-2023,Java Developer,Level 6 - IT / Non- Engineering,4.00 LPA,60%,946,2
Fiserv,20-01-2023,FTE | PPO,Level 4 - Dream (Placement),9.65 LPA,60%,1994,7
Fleet Studio Technologies Pvt Ltd,06-10-2023,Engineering Intern,Level 4 - Dream (ILP),6.00 LPA,80%,677,1
Flipkart,02-05-2024,Application Engineer,Level 3 - Super Dream,11.00 LPA,60%,12th/Dip and 6.0 CGPA in B.Tech,588
Flowserve,17-11-2023,GRADUATE ENGINEER TRAINEE,Level 4 - Core (Placement),6.40 LPA,60%,796,0
Ford,31-08-2023,FBS Data & Technology (Intern),Level 7 - Regular Internship,0 LPA,60%,6,0
FORD MOTORS PVT LTD,16-10-2023,GET,Level 4 - Dream (Placement),6.00 LPA,60%,3100,22
FORMA INDIA,29-08-2023,ANALYTICS ENGINEER,Level 3 - Super Dream (ILP),13.00 LPA,80%,1225,1
FORMA INDIA,29-08-2023,BUISSNESS ANALYST(INTERN),Level 3 - Super Dream (ILP),13.00 LPA,80%,1716,1
Foxconn Yuzhan Technology,20-03-2024,GET,Level 4 - Core (Placement),6.00 LPA,60%,261,19
Fractal Analytics,18-08-2023,Imagineer | PPO,Level 4 - Dream (Placement),9.50 LPA,70%,2591,12
FRESHWORKS,17-11-2023,Customer Support,Sales,Account Expansion,60%,5 LPA,60
Full Creative,28-09-2023,Junior Software Engineer,Level 4 - Dream (Placement),8.00 LPA,65%,2189,0
GALA INDIA GROUP,05-03-2024,GET,Level 4 - Core (Placement),3.50 LPA,60%,239,1
Gallagher Security Pvt Ltd,12-04-2024,GET,Level 4 - Core (Placement),3.00 LPA,75%,56,1
Ganit INC,20-12-2023,Data Analyst,Level 4 - Dream (Placement),6.00 LPA,60%,1827,7
GE Digital,08-06-2023,Digital Technology Intern,Level 7 - Regular Internship,0 LPA,60%,65,1352
GE Healthcare,04-11-2022,Intern,Level 4 - Core (ILP),7.50 LPA,60%,81,1
Gen Digital,28-09-2023,GET,Level 2 - Marquee (ILP),20.00 LPA,60%,2946,10
Genpact,16-09-2023,One Data and Artificial Intelligence,Level 3 - Super Dream (ILP),11.00 LPA,60%,2988,17
Genpact (Service Now),21-11-2023,GET,Level 7 - Regular Internship,8.00 LPA,60%,7,7
Geta.ai Labs Pvt Ltd,20-10-2023,Jr. Full Stack Developer,Level 6 - IT / Non- Engineering,4.50 LPA,60%,1453,0
Gigamon Solutions,27-12-2023,QA Intern,Level 4 - Dream (ILP),7.50 LPA,75%,998,4
Global Logic,02-12-2023,Trainee Software Engineer,Level 4 - Dream (Placement),5.57 LPA,60%,123,11
Glorious Insight,26-02-2024,Data Engineer,Level 6 - IT / Non- Engineering (Placement),3.50 LPA,60%,765,27
Godrej & Boyce,16-03-2024,GET,Level 4 - Core (Placement),0.00 LPA,25%,000.00 per Annum,60
GOODIX INDIA,09-06-2023,INTERN,Level 4 - Dream (ILP),0 LPA,70%,12,8
Gpi India,19-01-2024,Sales Engineer,Level 4 - Core,NA,60%,26,1
Greaves Electric Mobility Private Limited,12-12-2023,GET,Level 7 - Regular Internship (ILP),6.00 LPA,80%,70,30
Grindwell Norton (Saint Gobain),20-02-2024,GET & PGET Application Engineer(AE) / Product Engineer(PE),Level 4 - Core (Placement),5.90 LPA,60%,1,1
GULF ASIA ENGINEERING AND PROJECTS PRIVATE LIMITED,20-10-2023,Junior Engineer,Level 4 - Core (Placement),7.00 LPA,60%,210,9
Happy fox,03-11-2023,Backend Engineer Intern,Level 4 - Dream (ILP),4.00 LPA,60%,1529,0
Harman,24-09-2023,GET,Level 4 - Dream (Placement),7.00 LPA,75%,1835,19
Havells India ltd,22-11-2023,Engineer,Level 4 - Core (Placement),8.50 LPA,60%,625,7
HCL Technologies,08-06-2024,GET,Level 4 - Dream (Placement),6.00 LPA,60%,578,6
Hero FinCorp,14-02-2024,Associate - Information Technology,Level 4 - Dream (Placement),7.00 LPA,60%,1553,1
Hero Group,22-12-2023,Intern,Level 4 - Core (ILP),0.00 LPA,60%,65,4
Hero Group,16-02-2024,Intern,Level 7 - Regular Internship (Placement),0.00 LPA,60%,65,9
HeroMotors,17-11-2023,GET,Level 4 - Dream (Placement),9.00 LPA,65%,150,1
Hewlett Packard Enterprise India Pvt Ltd (HPE),07-09-2023,Intern - Software Development,Level 3 - Super Dream (ILP),17.50 LPA,80%,1583,3
Hexaware Technologies Limited,01-04-2024,PGET,Level 4 - Dream (Placement),6.00 LPA,60%,1405,25
Hike,07-03-2023,Software Development Engineers - Game Development,Level 2 - Marquee (ILP),35.70 LPA,60%,1829,0
Hindustan Unilever Limited,12-12-2023,Executive Trainee (ET) - Supply Chain,Level 3 - Super Dream (Placement),10.00 LPA,65%,296,1
Hitachi Energy,19-10-2023,GET | PGET,Level 4 - Core (ILP),7.75 LPA,70%,2300,5
Honeywell,17-09-2023,GET,Level 4 - Dream (ILP),8.50 LPA,60%,2741,15
HONEYWELL (CORE),22-11-2023,Intern,Level 4 - Core (ILP),9.00 LPA,60%,313,5
HONEYWELL Phase II,16-11-2023,Intern,Level 4 - Dream (ILP),9.00 LPA,60%,2172,2
HP Inc,16-09-2023,GET - Intern,Level 3 - Super Dream (ILP),10.20 LPA,80%,1328,5
HSBC,20-09-2023,TRAINEE SOFTWARE ENGINEER,Level 4 - Dream (Placement),9.00 LPA,60%,3258,13
Hyperverge,08-08-2023,BUSINESS ANALYTICS,Level 3 - Super Dream (ILP),12.00 LPA,80%,894,2
Hyperverge,08-08-2023,SOFTWARE DEVELOPMENT INTERN,Level 3 - Super Dream (ILP),11.00 LPA,80%,1106,0
IBM,12-10-2023,Associate System Engineer,Level 6 - IT / Non- Engineering,4.75 LPA,60%,2720,20
Icon Resources,30-11-2023,GT,Level 4 - Dream (Placement),5.00 LPA,60%,1798,13
IDFC First Bank,04-12-2023,Engineering Trainee – Cyber Security,Level 3 - Super Dream (Placement),10.20 LPA,60%,1921,3
IFB Industries,18-01-2024,GET,Level 4 - Dream (Placement),0.00 LPA,50%,000.00 per Annum,70
Impelsys India Pvt Ltd,06-10-2023,Software Engineer Trainee,Level 4 - Dream (Placement),6.00 LPA,60%,2283,5
incedo,26-09-2023,Software Developer Trainee,Level 4 - Dream (Placement),5.55 LPA,70%,1731,6
Indo-MIM Pvt Ltd,24-01-2024,GET,Level 4 - Core (Placement),0.00 LPA,30%,625.00 per Annum,60
Infineon Technologies,07-06-2023,Intern,Level 3 - Super Dream (ILP),17.00 LPA,70%,12,0
Informatica,05-04-2024,Apprentice/Trainee,Level 3 - Super Dream (ILP),13.35 LPA,70%,1202,6
Infosys,29-02-2024,Specialist Programmer,Level 4 - Dream (Placement),9.50 LPA,60%,1937,22
INRY,15-03-2024,GET,Level 4 - Dream (ILP),8.41 LPA,60%,123,3
Intellect Design Arena,07-11-2023,Associate consultant,Level 4 - Dream (Placement),7.00 LPA,70%,341,5
Intellect Design Arena,07-10-2023,GET,Level 4 - Dream (Placement),5.00 LPA,70%,1291,8
IntellectPartners Consulting LLP,11-10-2023,Patent Engineer Trainee,Level 4 - Dream (ILP),5.00 LPA,60%,5,0
Intellipaat Software Solutions Pvt Ltd,28-12-2023,Business Development Associate,Level 6 - IT / Non- Engineering,7.25 LPA,60%,566,14
Internz Learn,27-04-2024,Business Development Associate,Level 6 - IT / Non- Engineering (ILP),7.00 LPA,60%,228,56
Ion Group,01-08-2023,Technical Analyst & SDE,Level 3 - Super Dream (Placement),14.00 LPA,75%,2236,5
IRM ENERGY LIMITED,16-05-2024,Graduate Engineer Trainee,Level 4 - Core (Placement),3.00 LPA,60%,21,1
ISIEINDIA,13-03-2024,Business Development Executive / Sales Engineer,Level 6 - IT / Non- Engineering (Placement),7.44 LPA,60%,665,4
ITC Limited,21-12-2023,GET,Level 4 - Core (Placement),5.00 LPA,60%,391,1
Ivykids (formerly known as Yellow Class),12-09-2023,SDE - Full-Stack / Mobile - Flutter,Level 3 - Super Dream (ILP),15.00 LPA,60%,2264,1
Jatayu Unmanned Systems,25-08-2023,Design Engineer,Level 4 - Core (Placement),3.13 LPA,70%,30,2
Jk Fenner,29-02-2024,GET,Level 4 - Core (Placement),4.50 LPA,6%,46,4
John Deere,11-10-2023,GET / PGET,Level 4 - Core (Placement),8.07 LPA,60%,45,1
Johnson & Johnson,24-08-2023,Sale Trainee (Territory Account Manager),Level 4 - Core (ILP),6.50 LPA,60%,59,9
JP Morgan Chase & Co.,01-07-2023,Software Engineer Program,Level 2 - Marquee (Placement),20.00 LPA,60%,2572,3
Juego Studio Private Limited,11-09-2023,Intern Project Analysts,Level 4 - Core (Placement),4.00 LPA,60%,6,0
JUNGLEE GAMES,18-07-2023,SDE - INTERN,Level 2 - Marquee (ILP),23.00 LPA,60%,1961,6
Jupiter Meta,16-10-2023,UI/UX development,Smart Contract,Database Management,60%,9-18LPA,60
JUSPAY,03-06-2023,React Developer,Level 2 - Marquee (ILP),0 LPA,60%,27 LPA (SDE),60
K&A Engineering Consulting P.C.,11-01-2024,Associate Electrical Engineer,Level 4 - Core (Placement),8.00 LPA,60%,59,5
Kalvium,28-08-2023,Business Analyst (Young Leaders Program),Level 3 - Super Dream (ILP),10.00 LPA,60%,1906,4
Kalvium,02-02-2024,Business Development Associate,Level 6 - IT / Non- Engineering,5.00 LPA,60%,585,81
Kalvium,20-08-2023,FOSS Engineer,Level 3 - Super Dream (ILP),10.00 LPA,60%,1970,4
Kalvium,20-08-2023,Software Engineer,Level 3 - Super Dream (ILP),10.00 LPA,60%,1970,4
Keka,06-01-2024,Android Developer/iOS Developer,Level 4 - Dream (ILP),8.00 LPA,60%,711,1
Keyence India Pvt Ltd,22-09-2023,Consulting Sales Engineer,Level 4 - Core (Placement),5.50 LPA,60%,60,584
Khimji Ramdas LLC,13-04-2024,Junior Civil Engineer,Level 4 - Core,5.50 LPA,60%,2,2
Kickdrum,03-08-2023,Software Developer,Level 3 - Super Dream (ILP),16.00 LPA,80%,1530,1
Kinaxis,18-10-2023,Associate Consultant,Level 4 - Dream (Placement),6.90 LPA,60%,506,0
KPIT-Technologies,04-08-2023,Associate Engineer,Level 6 - IT / Non- Engineering,4.50 LPA,60%,2609,164
KPMG India,17-09-2023,Analyst,Level 4 - Dream (ILP),5.00 LPA,60%,1878,13
KPMG India,03-02-2024,Trainee - Intern,Level 7 - Regular Internship,0 LPA,60%,893,5
Kuddle,10-07-2023,Data Analyst - Intern,Level 4 - Dream (ILP),7.50 LPA,60%,1956,0
Kuddle,19-06-2023,GET,Level 2 - Marquee (ILP),20.00 LPA,60%,2761,1
Kynhood Technologies Pvt. Ltd.,08-03-2024,Junior Software Engineer,Level 4 - Dream (Placement),5.00 LPA,60%,1259,6
Larsen & Toubro Ltd.,23-09-2023,GET/PGET (L&T Constructions),Level 4 - Dream (Placement),6.80 LPA,60%,27,26
LatentView Analytics,30-08-2023,Analyst (Level 01),Level 4 - Dream (Placement),6.50 LPA,70%,2047,10
Leadsquared,02-11-2023,Sales Development Representative,Level 4 - Dream (Placement),6.00 LPA,60%,2473,3
Leap Finance (Outleap Technologies Pvt ltd),28-10-2023,PROGRAM MANAGEMENT INTERN,Level 3 - Super Dream (ILP),10.00 LPA,60%,3262,0
Linde India Limited,21-01-2024,GET,Level 4 - Core (Placement),5.00 LPA,60%,172,3
LOCOBUZZ Solutions Pvt Ltd,06-01-2024,NET FSD/Python/Angular/React/SQL Developer,Level 4 - Dream (ILP),6.00 LPA,60%,32,24
L&T Technology Services.,30-08-2023,Associate Engineer (Trainee),Level 4 - Core (Placement),4.00 LPA,60%,648,22
L&T Technology Services.,20-10-2023,PGET,Level 4 - Dream (Placement),5.50 LPA,60%,22,0
Maatrum Technologies,05-03-2024,Java Spring boot + Angular + MariaDB,Level 4 - Dream (ILP),5.00 LPA,60%,5,5
Mad Street Den,07-08-2023,Machine Learning Trainee,Level 7 - Regular Internship,6.00 LPA,70%,1987,2
Mahindra & Mahindra,06-03-2024,GET,Level 4 - Core (Placement),8.00 LPA,60%,1874,1
Mahindra & Mahindra,08-05-2024,PGET,Level 3 - Super Dream (Placement),13.00 LPA,60%,28,1
Maruti Suzuki,24-01-2024,GET,Level 3 - Super Dream (Placement),0.00 LPA,20%,000.00 LPA (GET) - ₹ 13,02
Mavenberg Innovations,13-10-2023,Software Developer,Level 6 - IT / Non- Engineering,4.30 LPA,60%,75,1013
Maximl Labs,04-05-2023,Full-stack Developer / Data science,Level 3 - Super Dream (ILP),10.00 LPA,60%,2425,9
Merilytics,28-10-2023,Technical Associate,Level 4 - Dream (Placement),6.50 LPA,65%,1838,0
Meritto,08-01-2024,Customer Success,Level 6 - IT / Non- Engineering (Placement),0 LPA,60%,60,1098
Microchip Technology,10-06-2023,Intern - Validation / Intern - AMS Verification,Level 3 - Super Dream (ILP),11.00 LPA,60%,5,0
Microland Limited,26-12-2023,GET,Level 4 - Dream (Placement),7.00 LPA,70%,1241,6
Micron Technology,04-08-2023,Quality Analyst (SQA),Level 3 - Super Dream (ILP),16.60 LPA,60%,16,1
Micron Technology,04-08-2023,Software Developer,Level 3 - Super Dream (ILP),16.60 LPA,60%,16,1
Mindgate,28-03-2024,Trainee Developer,Level 4 - Dream (Placement),5.50 LPA,60%,740,4
MINDSPRINT,30-08-2023,Junior Engineer,Level 4 - Dream (Placement),5.50 LPA,70%,1282,24
MiQ Digital India Pvt Ltd,28-09-2023,Software Engineer - Intern,Level 3 - Super Dream (ILP),13.00 LPA,60%,60,3041
Morphle Labs,02-06-2023,Mechanical Design Intern,Level 4 - Core (Placement),6.50 LPA,60%,60,0
Mphasis,11-12-2023,Associate Software Engineer,Level 5 - Day 1/ Day2 (Placement),4.00 LPA,60%,1448,33
Mu Sigma,04-11-2023,Trainee Decision Scientist,Level 4 - Dream (Placement),5.00 LPA,70%,1462,21
MyCaptain,02-11-2023,Operations Executive,Level 6 - IT / Non- Engineering,5.50 LPA,60%,1694,59
My Digital,23-09-2023,Software Engineer,Level 4 - Dream (ILP),5.00 LPA,60%,1507,7
MYK Laticrete India Pvt Ltd,18-03-2024,Management Trainee (Sales & Marketing),Level 4 - Core (Placement),5.40 LPA,60%,19,1
MyWays.ai,13-10-2023,Flutter Developer,Level 6 - IT / Non- Engineering,5.50 LPA,60%,1339,0
MyWays.ai,12-10-2023,React Native Developer,Level 6 - IT / Non- Engineering,5.00 LPA,60%,1339,0
Natwest Group,11-08-2023,Software Engineer,Level 3 - Super Dream (Placement),14.15 LPA,70%,2812,9
Navin`s,17-02-2024,GET - Mechanical,Level 4 - Core (Placement),3.60 LPA,70%,3,1
NEEYAMO,20-10-2023,Product Specialist,Level 6 - IT / Non- Engineering,3.00 LPA,60%,715,0
Netweb Technologies,08-05-2024,Firmware Engineer/AI Engineer /HPC Engineer,Level 4 - Dream (Placement),7.00 LPA,60%,992,3
New Street Tech,03-12-2023,Engineering Interns (Fronted,Backend,QA &,60%,Level 3 - Super Dream (ILP),10 LPA
Nilkamal Ltd.,17-11-2023,GET,Level 4 - Core (ILP),4.50 LPA,60%,71,6
Nokia,01-05-2023,INDIA INTERNSHIP PROGRAM,Level 7 - Regular Internship (ILP),0.00 LPA,60%,60,21
Nokia,10-11-2023,Intern,Level 4 - Dream (ILP),8.20 LPA,65%,2808,7
Novartis Healthcare Pvt. Ltd.,12-12-2023,Junior Prompt Engineering Specialist,Level 4 - Dream (ILP),8.52 LPA,60%,1502,15
NowPurchase,01-12-2023,GET,Level 4 - Core (Placement),6.50 LPA,60%,184,3
OneBanc,13-03-2024,Trainee,Level 3 - Super Dream (Placement),8.00 LPA,60%,757,1
