Company Name,Date of Visit,Role,Category,CTC,Eligibility Percentage,Student Applied,Student Selected
Amazon,20-03-2024,Amazon Student Programs(Non-Tech),Level 7 - Summer Internship,70 K per Month,60%,203,13
Amazon,23-08-2024,SDE,Level 2 - Marquee,26.41 LPA,60%,4109,3
Anand Group,14-11-2024,GET & PGET,Level 4 - Core (ILP),7-12 LPA,60%,596,4
A.O. Smith India Water Products Pvt. Ltd.,08-10-2024,Graduate Engineer Trainee,Level 4 - Core,450000 per year,60 %,94,4
Applus IDIADA Group,22-01-2025,Engineering Trainee,Level 4 - Core (ILP),4-5 LPA,60%,76,2
APTIV,25-10-2024,Software Engineer / System Test Engineer,Level 4 - Dream (ILP),8.5 LPA,70,3226,3
Asahi India Glass Ltd.,27-06-2024,GET,Level 4 - Core (Placement),CTC: 4.5 LPA,70% in 10th, 12th/Dip and 7.0 CGPA in UG,59,3
Ascendion,10-03-2025,Associate Engineer,Level 6 - IT / Non- Engineering (Placement),4 -5 lpa,60%,22,8
Ashiana Housing Ltd.,12-02-2025,GET,Level 4 - Core (Placement),4 LPA,60%,31,1
ATHER ENERGY,12-09-2024,GET,Level 3 - Super Dream (Placement),10 LPA & 12 LPA,60,676,12
AVASOFT,20-08-2024,TRAINEE ENGINEER,Level 4 - Dream (ILP),5 LPA,60,2096,9
Avniro Group,14-05-2025,Customer Success Associate,Level 6 - IT / Non- Engineering (ILP),4.09 LPA,70%,405,1
Bahwan cybertek,05-02-2025,Software Internship,Level 6 - IT / Non- Engineering (ILP),3.5 - 4 lpa,60%,948,3
Bajaj Finserv Ltd,02-08-2024,Associate Software Development Engineer - Intern,Level 3 - Super Dream,12LPA,60%,1959,4
Bank of America,11-09-2024,Apprenticeship,Level 4 - Dream,6.45LPA,60%,2680,57
Barclays,16-09-2024,GET,Level 3 - Super Dream (Placement),14 LPA,70 %,3206,21
Barclays,07-09-2023,INTERN,Level 3 - Super Dream,75K per Month,60% 10&12, 70 in UG,3946,12
Base Automation Technologies Pvt Ltd,28-01-2025,Engineer Trainee,Level 4 - Core (Placement),3 lpa,60%,5,5
Baton Systems,09-08-2024,Software Engineer,Level 3 - Super Dream,10-12.5 LPA,90%,305,2
BECKMAN COULTER DIAGNOSTICS,29-11-2024,Campus Trainee - Field Service Engineer,Level 4 - Core (Placement),6 LPA,60,49,1
BENEXT,20-11-2024,Semiconductor Engineer,Level 1 - International (Placement),15.07 lpa,60%,609,18
Bes Consultants Pvt Ltd,10-03-2025,Software development engineer (Intern),Level 6 - IT / Non- Engineering (ILP),3.5 lpa,70%,709,3
BIORAD MEDISYS,19-02-2025,Management Trainee - Robotics,Level 4 - Core (Placement),5 LPA,60%,17,4
BNY Mellon,25-07-2023,SDE,Level 7 - Summer Internship,75K per month,75,1383,13
BOOKING HOLDINGS,28-10-2024,Intern,Level 2 - Marquee (ILP),20 LPA,60 %,3774,7
Bread Financial,13-05-2025,Data Analytics (FTE)/Rotational Program Associate,Level 3 - Super Dream (Placement),14-16 Lpa,60%,1535,2
Broadridge,26-08-2024,GET,Level 3 - Super Dream,10LPA,70%,2860,6
Camsonline,09-09-2024,Intern,Level 4 - Dream (ILP),6 LPA,60,1788,4
Capgemini,11-09-2024,ANALYST / SENIOR ANALYST,Level 4 - Dream,575000 - 750000 per year,60%,47,47
CATALOG,07-11-2024,UI/UX Developer,Level 4 - Dream (ILP),8 LPA,60%,1,1
C-Dot,15-01-2025,Scientist B,Level 2 - Marquee (Placement),21 lpa,70%,2545,1
Chart Industries,05-02-2025,GET,Level 4 - Core (Placement),4-5 LPA,60%,363,6
Chipsmart Technologies,04-10-2024,Analog Layout Engineer,Level 4 - Core,400000,60%,2,2
Chipsmart Technologies,20-09-2024,Cyber Security /Data Science /Full Stack Developer,Level 2 - Marquee,65000,75%,422,14
Cleartax,16-11-2024,SDR / CSM / Solution Engineer / Corporate Partnership Manager / Inside Sales Manager / Talent Acquisition Specialist,Level 4 - Dream,5.5 - 8.4 LPA,60%,2475,9
CME,09-07-2024,SDE Intern,Level 3 - Super Dream (ILP),10-12 LPA,75%,183,7
Codetru,16-04-2025,Tech Interns - Python,Level 6 - IT / Non- Engineering (ILP),4.5 - 5 LPA,60%,982,2
Codewalla,21-12-2024,Software Development Engineer Intern,Level 4 - Dream (Placement),9 lpa,75%,2005,3
Coding Ninjas,27-02-2025,Admission Counsellor,Level 6 - IT / Non- Engineering (Placement),3 LPA,60%,498,5
Coffee Day Global Ltd,28-02-2025,Service Executive,Level 4 - Core (Placement),3.5 LPA,60%,114,1
Cognizant,23-10-2024,Cyber Security,Level 5 - Day 1/ Day2 (Placement),4 LPA,60,3,3
Cognizant,04-09-2024,Programmer Analyst/Programmer analyst trainee,Level 5 - Day 1/ Day2 (Placement),4 LPA,60,5345,386
Cognizant,04-09-2024,Programmer Analyst/Programmer analyst trainee - GenC Next,Level 4 - Dream (Placement),6.75 LPA,60,15,15
Cognizant,23-10-2024,Servicenow,Level 5 - Day 1/ Day2 (Placement),4 LPA TO 5.4 LPA,60,3,3
conga,18-10-2024,Project Trainee / Intern,Level 3 - Super Dream,10.44 LPA,70%,2403,14
CORIZO,19-12-2024,Business Operations Executive,Level 6 - IT / Non- Engineering (ILP),6.5 LPA,60%,668,39
Covalent,09-06-2025,SDE,Level 1 - International (Placement),33-61 lpa,60%,2,2
Cprime Technologies India Pvt Ltd,20-09-2024,ServiceNow Trainee,Level 4 - Dream,8.5 LPA,70 %,62,9
Cummins,07-01-2024,Intern,Level 7 - Regular Internship,20k per month,60%,1106,5
Cyware Labs,27-06-2024,SDET Intern,Level 3 - Super Dream (ILP),STIPEND: 60000 per month;CTC:12 LPA,80% in 10th,12th/Dip and 8.0 CGPA in B.Tech,1448,1
DAR International For Engineering Consultancy,27-11-2024,Trainee Engineer,Level 4 - Core (ILP),6.6 lpa,70%,74,4
Datazymes,18-09-2024,Associate analyst,Level 4 - Dream,9LPA,80%,1844,4
Dayananda Sagar University,08-04-2025,Associate Professor,Level 4 - Dream (Placement),7.3 LPA,60%,10,2
Dell Technologies,19-03-2024,Intern,Level 3 - Super Dream (ILP),13.72LPA & 15 LPA,60%,11,6
Deloitte,19-08-2024,Deloitte US India Analyst / Deloitte US India Technology Analyst or equivalent–Cyber & Strategic Risk / Deloitte US India Analyst, DFlow- Enabling Areas / Deloitte US India Analyst, DFlow- Enabling Ar,Level 4 - Dream (Placement),7.6,60 % in all,2094,62
DEVREV-Prograd,16-07-2024,Technical Staff,Level 3 - Super Dream (ILP),12,7.5 CGPA OR 75 %,2792,4
Digit Insurance,05-03-2025,Data Engineering,Level 4 - Dream (Placement),5 lpa,60%,11,11
DTICI,22-09-2024,GET,Level 3 - Super Dream (Placement),10LPA,60%,521,1
Electronic Arts (Ea),18-09-2024,SE Intern,Level 2 - Marquee (ILP),20.0LPA,7.5 CGPA OR 75 %,97,1
EmbedUR,10-11-2024,Software Engineer,Level 4 - Dream (ILP),6 LPA,75,1775,1
Encora,06-02-2025,Software Engineer,Level 4 - Dream (Placement),5-7 lpa,70%,1629,13
EPAM,07-08-2024,TRAINEE ENGINEER,Level 4 - Dream,8LPA,70%,2315,27
Escorts Kubota Ltd.,24-02-2025,GET,Level 4 - Dream (Placement),6 lpa,60%,874,1
Euler Motors Pvt. Ltd.,06-01-2024,EMBEDDED SOFTWARE ROLE; AUTONOMOUS DRIVING ROLE,Level 4 - Dream (ILP),Stipend: 30000 p.m. / CTC: 6.0 - 8.0 LPA,60% in 10th, 12th & 6 CGPA in Current Course,1553,14
Exide Industries Limited,25-10-2024,GET,Level 4 - Core (ILP),6 LPA,60,97,3
Exide Industries Limited,25-10-2024,GET,Level 4 - Core,600000,60%,97,3
EY GDS,13-08-2024,Associate Consultant,Level 4 - Dream (Placement),5,60 %in all,3005,87
EY GDS,12-02-2025,Intern - Consulting ( Testing ),Level 7 - Regular Internship,Rs.23,000 per month,60%,517,11
EY - India,26-11-2024,Intern,Level 4 - Dream (ILP),6.37 LPA,65,1996,4
FactWise,11-07-2024,Jr. Technical Product Manager,Level 3 - Super Dream,10 LPA,6 CGPA OR 60 %,2329,4
Federal Bank,14-02-2025,Customer Service Associate,Level 6 - IT / Non- Engineering (Placement),7.35 -7.90 lpa,60%,1447,17
Fidelity Investments,30-08-2023,SDE,Level 7 - Summer Internship,35k per month,80%,1380,28
Fiserv,05-02-2025,Intern,Level 7 - Regular Internship,30,000/- per month,60%,10,10
FIS Global,25-09-2024,IT TRAINEE,Level 4 - Dream,970000,65%,2322,15
Flipkart,28-11-2024,Assistant Manager Planning/ Assistant Manager BD,Level 3 - Super Dream,16.5 LPA,60%,660,1
FORMA INDIA,17-04-2024,Business Analyst,Level 3 - Super Dream (ILP),13 lacs LPA; STIPEND -38K,60 in 10th,12th/diploma & 8CGPA in UG,2440,3
Fractal Analytics,06-09-2024,Imagineer - Data Visualization (Information Architecture,Data Engineering,Decision Sciences,Data Science,Level 3 - Super Dream (Placement),10.25,70 in all,3558,8
GAVS Technologies Pvt. Ltd,02-02-2025,Software Engineer,Level 6 - IT / Non- Engineering (ILP),4.5 lpa,60%,1387,9
Gensol Group,06-02-2025,PGET,Level 4 - Dream (Placement),8 lpa,70%,3,1
GENSPARK,18-10-2024,Content Creation and Curation Intern,Level 4 - Dream,5.5LPA,60%,1308,1
GE Vernova,26-08-2024,Engineering Intern,Level 4 - Core,900000,7 CGPA OR 70 %,2251,3
GlowLogics,08-01-2025,Inside Sales Representative,Level 6 - IT / Non- Engineering (ILP),5.2 LPA,60%,1167,252
Godrej & Boyce,14-02-2025,Graduate Engineer trainee,Level 4 - Core (Placement),7.75 lpa,60%,79,1
Go Marble AI,19-12-2024,Product Analyst,Level 4 - Dream (ILP),6 lpa,80%,374,1
GreyB Research Pvt Ltd,28-02-2025,Research Analyst,Level 4 - Core (Placement),6 LPA,70%,385,1
GULF ASIA ENGINEERING AND PROJECTS PRIVATE LIMITED,24-01-2025,GET,Level 4 - Core (Placement),6.37 lpa,60%,84,9
Gulf Contracting Company,02-04-2025,GET,Level 1 - International (Placement),11.23 lpa,60%,28,5
HANSA SOLUTIONS,21-11-2024,Trainee Software Development / Trainee Product Analysis,Level 4 - Dream (ILP),5 LPA,70%,1549,7
Havells India ltd,01-01-2025,Graduate Engineer Trainee,Level 4 - Core (Placement),8.5 LPA,65%,343,6
HCL Technologies,05-12-2024,GET,Level 6 - IT / Non- Engineering (Placement),4.25 lpa,70%,962,83
HCL Technologies,05-12-2024,GET (Service Now),Level 4 - Dream (Placement),6 LPA,70%,3,3
Hevo Data,14-03-2024,Account Based Marketing Associate / Marketing Associate / Talent Branding Associate / Business Analyst Associate / Technical Associate,Level 7 - Regular Internship,35 K per month,70 %,1624,2
Hewlett Packard Enterprise India Pvt Ltd (HPE),07-11-2024,Intern - Supply Chain,Level 4 - Core (ILP),5.5 LPA,60,39,2
Hike,25-02-2025,Software Developer - Trainee,Level 4 - Dream (Placement),4.2 - 6 lpa,60%,1476,2
Hindustan Unilever Limited,03-01-2025,Executive Trainee,Level 3 - Super Dream (Placement),11.06 LPA,65%,180,2
Honda Cars India Ltd.,15-05-2025,Graduate Engineer Trainee,Level 4 - Dream (Placement),6 lpa,65%,1504,1
Honda R&D,29-08-2024,GET,Level 3 - Super Dream (Placement),11.07 LPA,7 CGPA OR 70 %,73,4
Honeywell,28-09-2024,GET,Level 4 - Dream,9LPA,60%,4150,15
HP Inc,09-09-2024,INTERN HP,Level 3 - Super Dream,10.7LPA,80%,519,10
HSBC,23-09-2024,Trainee Software Engineer,Level 4 - Dream,900000 per year,60%,2691,7
Hyosung T&D,28-03-2025,GET & PGET,Level 4 - Core (Placement),4-6 LPA,60%,89,1
Hyperverge,04-07-2024,MULTIPLE ROLES- Refer JD,Level 3 - Super Dream (ILP),Refer JD for CTC,60% and 6.0 CGPA,4929,5
HYUNDAI AUTOEVER,18-11-2024,GET,Level 4 - Dream (ILP),6.5-10 Lpa,60%,2221,3
Hyundai R&D.,21-02-2025,GET,Level 4 - Core (ILP),5.5 lpa,60%,82,4
IBM,28-03-2025,Associate System Engineer,Level 6 - IT / Non- Engineering (Placement),4.5 LPA,50%,1240,7
IBM,24-11-2024,Client Engineering,Level 3 - Super Dream,1200000 per year,60%,6,1
IBM,24-11-2023,Technical Sales Specialist Intern,Level 7 - Summer Internship,30K per month,60% in 10th,12th 80% in UG,2023,6
ICICI Home Finance,04-02-2025,Associate,Level 4 - Core (Placement),2.8 lpa,60%,13,2
Icon Resources,06-10-2024,Associate Consultant - Business Intelligence,Level 4 - Dream,5LPA,60%,1551,8
IDFC First Bank,05-11-2024,Engineering Trainee - Cyber Security,Level 3 - Super Dream,1020000 per year,60%,175,5
Illumine Industries,17-03-2025,Market Research Interns,Level 6 - IT / Non- Engineering (ILP),4 - 5 lpa,60%,483,1
incedo,09-09-2024,Software Developer Trainee,Level 4 - Dream,5.5LPA,80%,1351,12
Increff,16-09-2024,Technical deliver engineer,Level 3 - Super Dream (ILP),9.56 LPA,70%,509,3
IndexNine,28-02-2025,Data Engineering/DevOps,Level 4 - Dream (Placement),5-6 Lpa,60%,6,6
India Shelter,30-01-2025,Management Trainee,Level 6 - IT / Non- Engineering (Placement),5 LPA,70%,902,2
Infosys,02-04-2025,Digital Specialist Engineer,Level 4 - Dream (Placement),6.25 lpa,60%,4,4
Infosys,04-08-2024,Specialist Programmer,Level 4 - Dream,9.5LPA,60%,3792,10
Infosys,21-10-2024,Systems Engineer,Level 5 - Day 1/ Day2 (Placement),3.6 lpa,60%,7193,457
Infra Market,02-09-2024,Software Engineers / Quality Engineers,Level 3 - Super Dream (ILP),13 LPA,6 CGPA OR 60 %,2972,3
Intel,18-03-2024,PGET,Level 3 - Super Dream,stipend:40000; 10.0 - 12.0 LPA,60%,33,2
Intellect Design Arena,26-03-2025,Associate Consultant (Developer),Level 6 - IT / Non- Engineering (ILP),4 lpa,75%,439,5
Intellipaat Software Solutions Pvt Ltd,21-02-2025,Business Development Trainee/Associate,Level 6 - IT / Non- Engineering (ILP),9 Lpa,60%,758,5
Intellipaat Software Solutions Pvt Ltd,24-12-2024,Technical Research Analyst,Level 6 - IT / Non- Engineering (ILP),6 lpa,60%,937,12
Ion Group,24-07-2024,Software Developer/Technical Analyst,Level 3 - Super Dream (Placement),17.3,7.5 CGPA OR 75 %,2692,1
IRM ENERGY LIMITED,07-03-2025,GET,Level 4 - Core (Placement),3-4.5 LPA,60%,47,3
Isuzu Motors India Private Limited,24-12-2024,Graduate Engineer Trainee,Level 4 - Core (ILP),5.5 lpa,60%,382,2
John Deere,27-01-2024,GET,Level 4 - Core (Placement),7.57 lpa,60%,2,2
Johnson & Johnson,08-08-2024,Sales Trainee,Level 4 - Core,5.5 LPA,60%,18,18
JP Morgan Chase & Co.,23-01-2024,Intern - CIB Research & Analytics –Banking,Level 7 - Summer Internship,75k per month,60% in 10th,12th,UG,PG,1159,34
JSW Group,17-12-2024,GET,Level 4 - Core (Placement),8 lpa,60%,2993,10
JUNGLEE GAMES,25-06-2024,SDE Intern,Level 2 - Marquee (ILP),STIPEND: 40,000 per month; CTC: 21.4 LPA,60% in 10th,12th/Dip and 6.0 CGPA in B.Tech,2125,4
JUSPAY,26-09-2024,SDE,Level 2 - Marquee (ILP),21 LPA,60,3157,3
Kalvium,26-06-2024,DATA ANALYST, SOFTWARE ENGINEER,Level 3 - Super Dream (ILP),STIPEND: 20K & CTC:10LPA,70% in 10th, 12th & 7 CGPA,2009,2
Kazam EV Tech Pvt,13-01-2025,Firmware Developer,Level 4 - Core (ILP),5-6 lpa,60%,382,1
KEIO BUS,22-12-2024,Automotive Technician,Level 1 - International (Placement),11.10 lpa,60%,429,6
Kesseboehmer,22-02-2025,Techincal Sales - Intern,Level 6 - IT / Non- Engineering (Placement),4.30 lpa,60%,168,4
Keyence India Pvt Ltd,25-11-2024,Consulting Sales Engineer,Level 6 - IT / Non- Engineering,591000 - 710000 per year,60%,490,3
KPIT Technologies,23-10-2024,Associate Engineer,Level 6 - IT / Non- Engineering,450000 per year,70%,2485,164
KPMG India,13-03-2025,Associate,Level 4 - Dream (Placement),7 lpa,60%,2169,25
KPMG India,18-10-2024,Digital Strategy Role / Digital Trust Role,Level 4 - Dream,5-6LPA,60%,2909,11
KREDITBEE,16-11-2024,INTERN,Level 4 - Dream (ILP),8 LPA,80%,1490,5
K.S. Venkatraman & Co. Pvt. Ltd,10-06-2025,Project Controls Manager / Project Coordinator,Level 4 - Core (Placement),5.4 LPA,60%,18,1
Kuddle,28-05-2024,Product Engineer,Level 2 - Marquee (ILP),STIPEND - 40000; CTC: 20LPA,60% and 6 CGPA,1295,3
Leadsquared,06-08-2024,Sales Development Representative,Level 3 - Super Dream,10LPA,60%,2318,2
Leadsquared,25-08-2024,Sales Development Representative, Customer Success intern,Level 4 - Dream (ILP),7.15 LPA,60,2943,13
Leadsquared,08-11-2024,Sales Development Representative Intern / Business Analyst Intern,Level 4 - Dream (ILP),6 LPA,60,2573,6
Linde India Limited,16-11-2024,Trainee - C&MES (Customer and Medical Engineering services),Level 4 - Core (ILP),5.5 Lpa,60%,120,1
LIVESTOCKIFY,15-11-2024,Hardware Developer,Level 4 - Core (ILP),4 LPA,60,60,80,238,2
L&T constructions,27-11-2024,GET & PGET,Level 4 - Dream (Placement),6-6.8 lpa,65%,2864,1
L&T Edutech,08-07-2024,Intern,Level 4 - Dream (ILP),15k Per Month,60,3,3
LTI MINDTREE,30-08-2024,Graduate Engineer Trainee,Level 6 - IT / Non- Engineering (Placement),4.05 LPA,60%,3476,299
L&T Technology Services.,13-09-2024,Associate Engineer (Trainee),Level 6 - IT / Non- Engineering,400000 per year,60%,605,44
Magna Automotive India,03-02-2025,GET Engineering / GET Program Management,Level 4 - Core (ILP),4 LPA,70%,47,1
Maq Software,04-01-2025,Software Engineer,Level 4 - Dream (ILP),6 Lpa,60%,1414,7
Marut Air System,18-10-2024,Sales Trainee Engineer,Level 6 - IT / Non- Engineering,500000,10th , 12th ,CGPA -60 %,77,9
Maruti Suzuki,26-01-2025,GET,Level 3 - Super Dream (ILP),12.85 LPA,65%,107,11
Maruti Suzuki,23-11-2023,STEP INTERN,Level 7 - Summer Internship,25K-UG 30K-PG,-,1000,8
MARWADI UNIVERSITY,03-12-2024,Assistant Professor,Level 4 - Dream (Placement),6 Lpa,60%,5,2
MASTEC INFOTRELLIS,12-12-2024,GET,Level 4 - Dream (Placement),6.5 LPA,75%,80%,1187,7
Mathco,10-08-2024,Trainee Analyst,Level 4 - Dream,550000,6 CGPA OR 60 %,2858,18
Maximl Labs,18-04-2024,Front End Developer (Angular + React) , Back End Developer(Python + Django) (Internship + Full-Time),Level 3 - Super Dream (ILP),Stipend: Rs.25000; CTC: Rs.1000000,85% in 10th,12th/Dip and 9.0 CGPA in B.Tech,106,1
Microland Limited,18-11-2024,Engineering Trainee,Level 4 - Dream,700000 per year,60%,2013,4
Microsoft,07-09-2023,CONSULTING SERVICES: ACON,PJM,Level 2 - Marquee,25K per month,60% in 10,12 & 8 CGPA,3755,9
MINDSPRINT,03-03-2025,Cybersecurity Analyst,Level 4 - Dream (Placement),5.5 lpa,60%,165,5
MINDSPRINT,26-10-2024,Junior Consultant,Level 4 - Dream,5.2 LPA,60 %,47,8
Minfy Technologies,15-04-2025,Data Engineering / App Development / DevOps,Level 4 - Dream (ILP),6.5 lpa,70%,1083,8
Misumi,28-02-2025,Expert – Sales (Inside/Outside),Level 4 - Core (ILP),5 lpa,55%,23,4
Mitsogo,07-01-2025,Product Evangelist,Level 6 - IT / Non- Engineering (Placement),4 LPA,70%,799,5
Moller Maersk,22-08-2024,NLP & Generative AI Intern,Level 3 - Super Dream (ILP),10.83,6 CGPA OR 60 %,100,2
Movidu Technologies,09-02-2025,Business Development Intern,Level 6 - IT / Non- Engineering (ILP),6 - 9 lpa,60%,946,106
Mphasis,26-11-2024,Software engineer,Level 6 - IT / Non- Engineering (Placement),4LPA,60%,117,13
MUFG Global Services,20-09-2024,Cyber Security /Data Science /Full Stack Developer,Level 2 - Marquee (ILP),20 LPA,75,422,14
Mu Sigma,29-08-2024,GET - Trainee Decision Scientist,Level 4 - Dream (Placement),5,7 CGPA OR 70 %,2025,17
MyCaptain,10-03-2025,Business Development Associate,Level 6 - IT / Non- Engineering (Placement),7.04 LPA,50%,838,34
MyCaptain,18-11-2024,Business Operations Executive,Level 6 - IT / Non- Engineering,500000 per year,60%,2372,81
My Equation,10-02-2025,Business Development Intern ( Sales ),Level 6 - IT / Non- Engineering (ILP),5-6 lpa,60%,777,49
Natwest Group,11-08-2023,Intern Trainee & Software Engineers,Level 3 - Super Dream (Placement),13 - 13.65,7 CGPA OR 70 %,1602,11
NCC Limited,08-02-2025,GET,Level 4 - Core (Placement),4 LPA,70%,16,1
NETSMARTZ INFOTECH,17-10-2024,Junior Software Engineer - Artificial Intelligence,Level 4 - Dream (ILP),5 LPA,90,151,1
Nielseniq,23-09-2024,Associate Engineer – Entry Level,Level 4 - Dream (ILP),7.5 LPA,60,3820,5
Nielseniq,23-09-2024,Associate Support Specialist,Level 3 - Super Dream (Placement),11 LPA,60,3820,5
NILKAMAL,14-12-2024,GET - Design / GET - Plant Operations,Level 4 - Core,4.5 LPA,60%,57,1
NMTronics,23-12-2024,Machine Design Engineers / Technical Sales Engineers / PLC (Programmable Logic Controller) and LabVIEW engineers /Automation and Robotics Engineers,Level 4 - Core (ILP),6 - 7 lpa,60%,408,3
Nokia,14-04-2025,Intern,Level 7 - Regular Internship,30,000-35,000 per month,60%,31,31
Nokia,16-04-2024,INTERN,Level 4 - Dream,STIPEND 25K; CTC 8LPA,65% Or 6.5 CGPA,394,58
Nuvoco Vistas corporation,05-02-2025,Graduate Technical/Operations Trainee (GOT),Level 4 - Core (Placement),4.5 - 6 lpa,60%,30,1
Nyalazone Solutions Private Limited,29-01-2025,Software Developer Intern,Level 3 - Super Dream (ILP),10-12 lpa,80%,122,2
OneBanc,07-12-2024,Graduate Trainee,Level 3 - Super Dream,10 LPA,70%,1421,1
OnePaper Research Analysts Private Limited,09-04-2025,Relationship Manager,Level 6 - IT / Non- Engineering (Placement),4.92 lpa,60%,327,11
OPTUM,08-11-2024,Technology Development Program Associate,Level 2 - Marquee (Placement),20.78 LPA,70,3095,30
Oracle,27-09-2024,Associate Software Engineer / Associate Software Developer,Level 2 - Marquee (ILP),31 LPA,6 CGPA OR 60 %,4311,4
Oracle,05-01-2024,Project Intern,Level 7 - Regular Internship,50K Per Month,80%,473,3
Oracle Financial Software Services Ltd.,15-04-2025,Associate Consultant,Level 4 - Dream (Placement),9.34 LPA,70%,2086,3
Origin Medical,13-03-2025,Data Operations & Engineering Intern \PR & Marketing Analyst Intern \ DevSecOps Engineering Intern,Level 4 - Dream (ILP),8 LPA,60%,2698,1
pando,26-07-2024,Product Management Intern,Level 4 - Dream,7.5LPA,60%,1902,2
PayPal,28-11-2023,SOFTWARE ENGINEER INTERN,Level 7 - Summer Internship,1L per month,60%,2416,2
PCBL (TN) Limited,18-11-2024,GET,Level 4 - Core,600000 per year,60%,33,4
PeerIsland,28-02-2025,Java FS React /DevOps/Data Engineering,Level 3 - Super Dream (Placement),10 -15 lpa,60%,12,12
Peninsular Research Operation,28-01-2025,Junior Software Developer,Level 4 - Dream (Placement),5 lpa,60%,898,1
Peoplehum,05-09-2024,Software Engineering / SDET,Level 4 - Dream,700000,8 CGPA OR 80 %,1288,4
Pepperfry,11-07-2025,(Senior) Executive – Inside Sales,Level 6 - IT / Non- Engineering,3.5 lpa,60%,129,3
PharmaAce,25-11-2024,Trainee Analyst,Level 4 - Dream (Placement),8.6 LPA,60,2816,2
Philips,09-08-2024,Data Scientist or Data Analyst - B.Tech.,Level 3 - Super Dream (ILP),14.5 LPA,70 %,2430,12
Pibit.ai,21-08-2024,Business Development Intern,Level 4 - Dream,7LPA- 9LPA,6O%,1852,2
Pine Labs,01-09-2024,Software Engineer,Level 3 - Super Dream (ILP),11,85 %,785,16
PLANETSPARK,15-11-2024,Business Development Associate,Level 6 - IT / Non- Engineering (Placement),6.5 LPA,60,2475,39
Plateup,12-08-2024,SDE,Level 2 - Marquee,20,6 CGPA OR 60 %,44,1
Plintron,31-03-2025,GET,Level 6 - IT / Non- Engineering (ILP),3.5 - 4 LPA,70%,743,2
Polycab India,16-10-2024,GET,Level 4 - Core (Placement),3 lpa,60%,237,14
Poshmark,12-11-2024,Software Development Intern,Level 3 - Super Dream (ILP),10 lpa,60%,2746,3
Prism Johnson Ltd.,24-01-2025,Graduate Engineer Interns (GEI) / Post Graduate Engineer Interns (PGEI),Level 4 - Core (ILP),4 - 6 LPA,60%,27,1
Prodapt,29-08-2024,Software engineer,Level 4 - Dream,600000 - 800000,10th,12th,CGPA -60 %,2714,25
PwC Acceleration Center,04-11-2024,Associate Intern,Level 4 - Dream (ILP),6 LPA,60,19,19
PwC Acceleration Center,29-01-2024,Intern (Cloud & Digital Analytics Launchpad),Level 7 - Regular Internship,NIL,60%,831,69
PwC Acceleration Center,25-01-2024,Intern (Cyber Security Launchpad),Level 7 - Regular Internship,NIL,60% & B.E/B.Tech in Cyber Security,702,94
